name,semimajor_axis,eccentricity,inclination,long_ascend_node,abs_mag,size,semiminor_axis,anomaly,x0_pos,y0_pos
C/2010 J2 (McNaught),1311.2483533513862,0.997419,125.9718,311.7106,9.0,54.38502736768587,94.14853063804294,21.50530437087546,235.07394906433032,92.62323168926699
P/2008 CL94 (Lemmon),6.154731342995235,0.120049,8.3525,33.3535,8.0,86.19445964685667,6.110220126839107,237.26745928033395,-3.31088984182344,-5.150803827687859
P/2014 A2 (Hill),5.9235961169010025,0.647086,24.5497,106.628,15.0,3.4314632447397715,4.516250484440358,3.252403356419067,5.9072105088894595,0.3356843078872643
C/2014 C2 (STEREO),703.6443228453815,0.999269,135.7116,283.5435,18.0,0.8619445964685667,26.89970346727981,30.798838811526522,45.03423321379792,26.844553902719053
C/2018 N1 (NEOWISE),339.7845074083662,0.996153,159.4441,292.4479,15.5,2.7257081417153968,29.775672512134985,230.4426885724212,-24.531052375141105,-29.69797201118343
C/2009 T1 (McNaught),1156.457100316405,0.994627,90.0431,54.4685,6.5,171.98055709247893,119.72057497990097,183.00279743824998,-1031.581851999354,-54.11341895303769
P/2016 S1 (PANSTARRS),8.292627612314392,0.710745,94.6482,227.5155,12.0,13.66090123221672,5.833446786538596,192.0003386256245,-7.938135790260079,-1.687351884792875
C/2009 U3 (Hill),175.78019412704248,0.991861,51.0674,49.0774,13.0,8.619445964685667,22.381282972827705,258.64818268399875,-4.491807635912515,-22.3739744717497
C/2017 K4 (ATLAS),28.245221843003424,0.90624,16.6781,298.887,10.0,34.31463244739771,11.94105169971409,59.85069292458543,6.735625834267602,11.59655200725466
C/2014 C3 (NEOWISE),109.29213417484794,0.982888,151.7806,204.5457,14.0,5.438502736768584,20.132067815667376,2.6171120145631432,106.07512573174243,4.84858953411506
C/2015 C2 (SWAN),363.6844809866386,0.998054,94.4822,49.5739,14.0,5.438502736768584,22.6777413713193,221.4593733333882,-25.605476902527556,-22.6214651147631
P/2017 P1 (PANSTARRS),7.876456123684349,0.309468,7.7013,221.3938,10.0,34.31463244739771,7.489799769702775,42.81678191858104,5.641271434938363,5.22694464730887
C/2013 L2 (Catalina),3974.8883455583436,0.998773,106.8155,285.7274,8.0,86.19445964685667,196.8470688575431,124.06071484224927,-133.00421606985222,196.7368384229425
P/2017 D4 (PANSTARRS),7.5773171035461155,0.630638,10.5234,264.9566,13.0,8.619445964685667,5.880582516907415,335.140061101272,6.506028528677752,-3.014470523279888
P/2007 R1 (Larson),6.078941371743656,0.28908,7.7277,180.3226,8.0,86.19445964685667,5.819400622449553,120.36746206393101,-2.973891380815874,5.075476813980041
