name,semimajor_axis,eccentricity,inclination,long_ascend_node,abs_mag,size,semiminor_axis,anomaly,x0_pos,y0_pos
K15VH0L,39.9107365,0.0560444,26.86073,55.05825,8.5,68.46669297430097,39.84800789579293,5.19213,39.74646348766262,3.61170692088928
o6121,43.617873,0.0782238,4.1864,28.9899,6.2,197.460099452781,43.48422015904794,72.8584,12.819694748785178,41.56366739995476
K14UM8M,39.1663662,0.2885545,4.89749,271.26232,10.2,31.29531674054072,37.50036497392751,6.4553,38.89572565452662,4.400871996777419
K02PF5D,43.263206,0.0065763,5.75875,322.00425,7.0,136.60901232216727,43.26227047233878,7.01956,42.93891230743476,5.2871158745872595
K07L38F,88.9134691,0.5596193,35.82108,169.30891,5.8,237.39925482809605,73.68702016669553,22.02785,79.90032450784616,32.327012639599566
K17DC1M,44.2546176,0.0753493,10.21227,58.28953,7.6,103.62853329448156,44.1288106058768,31.68393,37.62921604767056,23.22570020887468
K13P74U,33.9641443,0.5349873,12.70155,133.9001,10.2,31.29531674054072,28.69495035507322,6.91282,33.61973874130614,4.076068245997726
M5088,67.3782739,0.5029744,30.73943,336.84349,1.8,1497.8880340791213,58.23513033794164,105.24269,-15.446132734921704,56.68425614939093
K15VG5J,39.0368905,0.1059299,6.08612,72.09592,8.3,75.07223600835081,38.81725333750516,25.2562,35.26890164175877,16.638559521751368
B9956,43.6425993,0.1770379,4.04779,105.45031,6.1,206.76610723797694,42.9532223168272,88.23546,1.32264235050777,42.93349222341519
K15PV2K,89.2973521,0.6493327,23.41708,159.94712,9.8,37.62524628723903,67.91103518585187,1.06741,89.27056489760069,1.6632868934760485
K13GD7F,39.781714,0.1559724,14.6557,35.78616,8.1,82.31506991887196,39.29484206092742,66.59217,15.640847204801153,36.130317865279
J98W31X,45.1723975,0.1017976,2.97362,37.51005,6.7,156.84813222680864,44.93773281189755,15.09633,43.597986708851636,11.760643766920472
K05Uq4N,21.4393344,0.1266356,17.79377,39.31907,9.3,47.36737867601935,21.266732869874772,10.64024,21.06485323504823,3.9574945672461164
K15RR8J,42.1633704,0.1568311,5.20485,358.34775,7.7,98.96448099650542,41.641617165005925,177.04304,-42.10582002381074,2.174957433512851
K07L38E,54.6612958,0.2349851,35.95002,193.47667,7.0,136.60901232216727,53.130723359780674,11.46258,53.50934145144407,10.850209761619935
K15KG7M,48.3437461,0.3411189,8.48276,121.22412,8.9,56.948114743233305,45.44409581165686,341.83705,45.643864932866215,-14.97424024637965
K14L28Q,43.6618232,0.0958267,1.30152,223.28762,5.8,237.39925482809605,43.4608929187806,343.10387,41.76073959147756,-12.684801780293922
K01RE3Y,41.98787,0.1585713,6.90897,0.57906,7.0,136.60901232216727,41.456619688091024,142.33785,-33.07985843283749,25.532131163774267
l0443,45.7239798,0.0690497,22.92718,53.6422,4.4,452.35495454868357,45.614846770165,107.60223,-13.797256762157497,43.48859140294149
J99O03Z,44.0874584,0.0786082,2.55415,137.76526,7.4,113.62642725569708,43.95103362877922,296.98881,19.95840687558527,-39.18949836102165
K06HC3A,43.1403502,0.0521158,3.29881,52.01849,7.2,124.58889999152157,43.08172454863485,35.32417,35.18192922988557,24.932482710259684
K11CB9Y,63.0146161,0.3723226,21.8281,178.23917,6.7,156.84813222680864,58.48407810904079,351.09483,62.135336741384876,-9.735878330542493
K06HC2N,45.821169,0.1835183,7.80526,317.32284,7.7,98.96448099650542,45.04295572071101,26.60211,40.82801990410964,20.447030011682745
q3639,65.6027406,0.4445353,13.54965,67.30727,4.4,452.35495454868357,58.76439841796282,320.9546,48.62932443740002,-39.44309227339205
j9870,10.9236984,0.4037666,165.55638,262.55377,12.0,13.66090123221672,9.993676886100243,17.21218,10.346623867266057,3.205225521787517
K01K77E,45.8426384,0.18837,20.93373,240.18964,7.2,124.58889999152157,45.0219695904536,49.76126,29.300750896186887,34.62524115890052
h7915,44.7261486,0.1307953,6.58129,22.16609,5.9,226.71452828784518,44.34192394684515,178.98261,-44.718974921457644,0.7941495978328522
K15Fe3U,60.9696629,0.4435833,23.31841,54.87394,7.5,108.51239560529478,54.64303292653347,62.60713,25.681198203845188,49.559147380008255
K15G55C,43.9055189,0.0844361,2.01308,199.03895,8.4,71.69342880402648,43.7487277309677,30.73794,37.70206375397871,22.4196275452153
K14UM9Z,41.5815468,0.0518119,11.88395,211.98083,8.2,78.61028149035887,41.5256970235484,119.55277,-20.488201199872577,36.13507958221957
K15G54R,39.5571105,0.2301139,9.97318,36.53003,8.6,65.38518417986339,38.49554413802413,335.16462,35.72305361853646,-16.533144320406624
q3791,11.5787087,0.2924046,33.2315,58.73515,12.4,11.362642725569703,11.07265774237772,40.69388,8.609588069475196,7.4038141651865095
K15VF2T,19.342421,0.1812772,39.75709,137.88509,9.5,43.19956278440564,19.02195653727412,208.24126,-16.975504929758188,-9.11793100772045
K15DO8W,44.6149468,0.0574023,25.26917,296.96449,6.1,206.76610723797694,44.54138248971327,114.21017,-18.270812502555277,40.63510942584849
K01FJ4M,54.6249006,0.372087,28.6749,181.77594,7.5,108.51239560529478,50.70271575495922,356.24485,54.48884736618421,-3.5763065108659258
K15DO9H,44.3373408,0.0708459,21.64373,201.652,7.6,103.62853329448156,44.22593313679864,232.2818,-27.081917047441834,-35.01691192838089
K15G54A,22.3041309,0.254993,11.38971,191.07616,10.6,26.030310669964695,21.566820992403766,101.79691,-4.415194881423025,21.140041298760973
K15DO9A,42.6519118,0.2446967,19.77162,215.23641,8.1,82.31506991887196,41.35527971491243,0.1613,42.65173201783535,0.12007415917807444
K15VG8Q,43.3587188,0.0456389,0.25336,176.36561,7.8,94.51034563112196,43.31353912444889,222.2923,-32.058231912034614,-29.162872062101574
K13SA0S,43.8493108,0.0832704,2.55309,117.45255,8.2,78.61028149035887,43.697021676175446,22.29753,40.550151184640434,16.62878691475188
K15VG5L,39.2846115,0.1550946,22.72577,223.7159,7.6,103.62853329448156,38.809252889105935,358.16273,39.263918566441546,-1.2594846602672758
K13J65R,46.6557144,0.1965194,11.68309,98.28753,7.9,90.25667938004489,45.74592500530441,337.68314,43.03664523818691,-17.665410591149527
n9522,21.1490208,0.3799426,24.32415,8.48852,7.6,103.62853329448156,19.563057108940466,296.99002,9.013412856342716,-17.697438712617377
K06QI1F,44.7393629,0.0723642,2.66436,136.82248,6.9,143.04719672357845,44.622068573982844,282.33417,9.532994634203837,-43.5973268302145
52872,8.3672453,0.3040751,15.6537,173.05843,10.8,23.739925482809593,7.971040034815469,167.72544,-8.15721110426717,1.7747659341067392
07066,24.6412374,0.518935,15.663,31.18293,9.6,41.25526217847495,21.063667373095416,80.03169,3.6609944854676906,20.82989466304239
K06WK6F,43.4139841,0.0520962,2.05606,58.14195,6.8,149.7888034079121,43.35503099142842,263.01649,-5.271369908515812,-43.03425132134335
B9066,44.0458054,0.0843083,6.72472,47.61558,6.8,149.7888034079121,43.888989888501705,317.44864,32.394303766636654,-29.737374993956777
p8151,24.5286756,0.6143833,93.55092,176.37873,10.1,32.770219579315416,19.353314074981316,14.72673,23.27134945427351,6.116729575766274
