name,semimajor_axis,eccentricity,inclination,long_ascend_node,abs_mag,size,semiminor_axis,anomaly,x0_pos,y0_pos
Molfino,2.6092233,0.1709688,4.00988,220.56168,14.0,5.438502736768584,2.5708062524084294,190.86246,-2.5611032820185877,-0.4914507225433977
Ivarsson,2.802432,0.157029,3.30943,4.02089,13.9,5.694811474323331,2.7676650063651924,105.44013,-0.7374838158635451,2.670112042330759
Aigyptios,5.119498,0.0570309,7.12568,141.47547,11.2,19.74600994527812,5.111165575212901,190.98861,-5.025334596168831,-0.9757893850486845
Perry,2.273589,0.1709632,4.80392,14.20918,14.0,5.438502736768584,2.240115892388619,134.78237,-1.5895419321925102,1.6016633370963567
Rip,3.0857341,0.269891,12.16608,61.14315,12.7,9.896448099650542,2.971225225129029,201.56525,-2.8546218863233515,-1.128222504130085
Sobey,2.2410049,0.1103443,3.36222,357.56552,14.6,4.1255262178474945,2.227320030090513,326.20056,1.8587109533650024,-1.2442722222767961
Andrewashcraft,2.7361752,0.13045,11.8565,152.47175,16.0,2.1651069365823927,2.7127942799981195,331.29838,2.395211430734232,-1.311427978055961
Maik,2.3156535,0.144375,20.4632,163.91917,14.0,5.438502736768584,2.291392505748192,265.70343,-0.17167894792542931,-2.285086498882737
Ukalegon,5.1601959,0.1393967,20.95753,227.36678,12.4,11.362642725569703,5.10981493727837,229.42061,-3.3376903239557296,-3.8969862290480246
Caelumnoctu,3.0360247,0.0946022,9.67067,353.30467,13.8,5.963199670531792,3.0224085996830814,86.95588,0.16050680633761744,3.018181881768023
Gubbio,2.6322422,0.1447953,14.52102,338.26809,12.4,11.362642725569703,2.604502662895339,356.39916,2.626934701883076,-0.16531138801971465
Melnikov,3.141823,0.2174394,2.40071,118.47621,12.0,13.66090123221672,3.066651185804394,121.30245,-1.6035616477400936,2.63714154419673
Ianchan,2.4520105,0.079603,5.833,181.51993,15.2,3.1295316740540717,2.4442294029366938,57.0454,1.3308463195505291,2.052882996136477
Fatherwilliam,2.268943,0.0888292,4.37891,42.96146,13.9,5.694811474323331,2.259973580181506,12.61329,2.2137648834514208,0.4953742546832286
Hela,2.6109976,0.4102843,15.29918,242.55178,11.72,15.541013990708672,2.3811192895349933,237.58639,-1.3083779294140203,-2.0605916473908006
Triconia,2.6865532,0.06302,5.97326,160.67271,13.2,7.861028149035883,2.68121304216895,234.3576,-1.5634631857246029,-2.180411497147049
Klemola,3.0135827,0.0417806,10.93421,149.80946,10.06,33.37946344813309,3.010951268218398,323.97771,2.4366136044680813,-1.7717521184499312
