#g,r,i,z
#row1 = min, row2 = max, row3 = avg
1.0,2.198,2.268336,2.155296
1.0,2.9139199999999996,3.0118880000000003,3.2404800000000002
1.0,2.594826607734807,2.704008397790055,2.620210298342541
1.0,2.456736,2.6677440000000003,2.768224
1.0,2.5547039999999996,2.765712,2.557216
1.0,2.491904,2.665232,2.517024
1.0,2.6978880000000003,2.768224,2.577312
1.0,2.469296,2.954112,2.8084160000000002
1.0,2.6024320000000003,2.5697759999999996,2.6376
1.0,2.62504,2.66272,2.469296
1.0,2.609968,2.8134400000000004,2.803392
1.0,2.429104,2.740592,2.981744
1.0,2.9139199999999996,2.831024,1.200736
1.0,2.715472,2.9139199999999996,2.7330560000000004
1.0,2.534608,2.8963360000000002,2.630064
1.0,2.388912,2.484368,2.54968
1.0,2.514512,2.577312,2.871216
1.0,2.7330560000000004,2.7481280000000003,2.293456
1.0,2.594896,2.7179840000000004,2.577312
1.0,2.441664,2.760688,3.024448
1.0,2.768224,2.87624,2.7933440000000003
1.0,2.730544,2.92648,2.768224
1.0,2.846096,2.818464,2.532096
1.0,2.514512,2.707936,2.61248
1.0,2.567264,2.42408,2.740592
1.0,2.755664,2.8687039999999997,2.47432
1.0,2.609968,2.7179840000000004,2.597408
1.0,2.582336,2.5747999999999998,2.6376
1.0,2.582336,2.818464,2.62504
1.0,2.77576,2.856144,2.815952
1.0,2.680304,2.607456,2.444176
1.0,2.5521920000000002,2.6828160000000003,2.6175040000000003
1.0,2.753152,2.607456,2.8837759999999997
1.0,2.198,2.403984,2.5396319999999997
1.0,2.743104,2.8812640000000003,2.630064
1.0,2.6853279999999997,2.906384,2.6024320000000003
1.0,2.753152,2.753152,2.466784
1.0,2.376352,2.3989599999999998,2.4215679999999997
1.0,2.8837759999999997,2.831024,2.512
1.0,2.607456,2.67528,2.33616
1.0,2.65016,2.720496,2.53712
1.0,2.6551839999999998,2.780784,2.4215679999999997
1.0,2.56224,2.753152,2.690352
1.0,2.47432,2.705424,2.41152
1.0,2.7481280000000003,2.702912,2.6200159999999997
1.0,2.582336,2.7280320000000002,2.607456
1.0,2.831024,2.858656,2.702912
1.0,2.6325760000000002,2.730544,2.672768
1.0,2.6476480000000002,2.8084160000000002,2.517024
1.0,2.59992,2.7481280000000003,2.6325760000000002
1.0,2.496928,2.652672,2.5898719999999997
1.0,2.484368,2.6200159999999997,3.00184
1.0,2.753152,2.680304,2.630064
1.0,2.695376,2.921456,2.861168
1.0,2.680304,2.90136,2.6853279999999997
1.0,2.677792,2.7506399999999998,2.607456
1.0,2.4492,2.5396319999999997,2.828512
1.0,2.5521920000000002,2.705424,2.469296
1.0,2.416544,2.773248,2.6476480000000002
1.0,2.489392,2.630064,2.7280320000000002
1.0,2.6376,2.740592,2.680304
1.0,2.6551839999999998,2.831024,2.642624
1.0,2.597408,2.6376,2.614992
1.0,2.572288,2.680304,2.5747999999999998
1.0,2.559728,2.504464,2.614992
1.0,2.609968,2.627552,2.481856
1.0,2.534608,2.622528,2.34872
1.0,2.5521920000000002,2.665232,2.7003999999999997
1.0,2.710448,2.9490879999999997,2.861168
1.0,2.49944,2.46176,2.514512
1.0,2.416544,2.6175040000000003,2.98928
1.0,2.255776,2.4793439999999998,2.5195359999999996
1.0,2.660208,2.73808,2.702912
1.0,2.7481280000000003,2.841072,2.692864
1.0,2.831024,2.680304,2.6551839999999998
1.0,2.509488,2.677792,2.218096
