#g,r,i,z
#row1 = min, row2 = max, row3 = avg
1.0,2.627552,2.873728,2.501952
1.0,3.5218239999999996,3.991568,3.762976
1.0,3.039478915887851,3.355269009345794,3.0039763738317764
1.0,2.9139199999999996,3.3359360000000002,2.760688
1.0,2.8837759999999997,3.16512,2.80088
1.0,2.871216,3.273136,2.971696
1.0,3.019424,3.250528,2.911408
1.0,2.931504,3.3434719999999998,2.843584
1.0,3.134976,3.235456,3.145024
1.0,2.9616480000000003,3.155072,2.90136
1.0,2.873728,2.92648,2.6828160000000003
1.0,2.90136,2.969184,2.7330560000000004
1.0,2.921456,3.2656,3.0470560000000004
1.0,3.021936,3.351008,3.074688
1.0,2.93904,3.104832,2.720496
1.0,2.90136,3.2932319999999997,2.966672
1.0,3.260576,3.1123680000000005,2.9139199999999996
1.0,2.969184,3.3912000000000004,3.300768
1.0,2.6325760000000002,3.150048,2.773248
1.0,2.903872,3.2429919999999997,2.7632000000000003
1.0,2.966672,3.3585439999999998,3.0269600000000003
1.0,3.069664,3.5695520000000003,3.2781599999999997
1.0,2.723008,3.1123680000000005,2.78832
1.0,3.474096,3.612256,2.9767200000000003
1.0,3.08976,3.323376,2.974208
1.0,2.8636799999999996,3.157584,2.7933440000000003
1.0,2.911408,3.167632,2.745616
1.0,2.8134400000000004,3.381152,2.7506399999999998
1.0,3.119904,3.6348640000000003,3.1977759999999997
1.0,3.19024,3.376128,2.843584
1.0,3.172656,3.690128,3.6373759999999997
1.0,2.9917920000000002,3.1626079999999996,2.8536319999999997
1.0,3.2756480000000003,3.6348640000000003,3.40376
1.0,2.893824,3.2932319999999997,2.9139199999999996
1.0,2.627552,3.11488,2.785808
1.0,3.134976,3.464048,2.9993279999999998
1.0,3.157584,3.5544800000000003,3.185216
1.0,3.0947839999999998,3.4514880000000003,3.2656
1.0,3.0772000000000004,3.418832,3.16512
1.0,2.984256,3.2907200000000003,3.222896
1.0,2.90136,3.14,2.8812640000000003
1.0,3.134976,3.411296,2.916432
1.0,2.831024,3.132464,2.753152
1.0,2.843584,3.1425119999999995,2.9139199999999996
1.0,2.9968160000000004,3.2028,2.790832
1.0,2.9490879999999997,3.4514880000000003,3.145024
1.0,3.2630879999999998,3.6072319999999998,3.5544800000000003
1.0,2.8486079999999996,3.310816,2.9465760000000003
1.0,2.9792319999999997,2.916432,2.6551839999999998
1.0,3.0571040000000003,3.2630879999999998,2.607456
1.0,3.220384,3.499216,3.250528
1.0,3.021936,3.268112,3.049568
1.0,2.9641599999999997,3.14,2.53712
1.0,2.9968160000000004,3.170144,2.906384
1.0,3.2028,3.564528,3.310816
1.0,2.971696,3.298256,3.021936
1.0,3.1927519999999996,3.310816,3.019424
1.0,3.0143999999999997,3.2781599999999997,2.818464
1.0,3.11488,3.288208,2.923968
1.0,3.0772000000000004,3.1927519999999996,2.805904
1.0,3.170144,3.501728,3.1475359999999997
1.0,3.0621280000000004,3.388688,2.9767200000000003
1.0,2.954112,3.351008,2.7003999999999997
1.0,3.2028,3.531872,2.893824
1.0,2.969184,3.30328,2.986768
1.0,2.931504,3.273136,2.80088
1.0,2.8134400000000004,2.873728,2.501952
1.0,3.207824,3.5419199999999997,3.31584
1.0,3.104832,3.40376,2.936528
1.0,3.0118880000000003,3.323376,3.1224160000000003
1.0,3.132464,3.549456,3.119904
1.0,3.0772000000000004,3.132464,2.831024
1.0,2.8988479999999996,3.345984,3.049568
1.0,2.9917920000000002,3.46656,3.3736159999999997
1.0,3.00184,3.4414400000000005,2.8888
1.0,2.98928,3.454,3.19024
1.0,3.0420320000000003,3.459024,3.237968
1.0,2.652672,3.044544,2.645136
1.0,3.084736,3.3359360000000002,3.1073440000000003
